building_name,building_type_id,district_id,latitude,longitude
Puskesmas Cempaka Putih,38153748-e18c-4fcf-b825-f54322420d2c,3173050,-6.190471,106.870002
Puskesmas Gambir,38153748-e18c-4fcf-b825-f54322420d2c,3173080,-6.170887,106.819234
Puskesmas Johar Baru,38153748-e18c-4fcf-b825-f54322420d2c,3173040,-6.182063,106.852137
Puskesmas Kemayoran,38153748-e18c-4fcf-b825-f54322420d2c,3173060,-6.156747,106.856495
Puskesmas Menteng,38153748-e18c-4fcf-b825-f54322420d2c,3173020,-6.206849,106.848077
Puskesmas Sawah Besar,38153748-e18c-4fcf-b825-f54322420d2c,3173070,-6.137786,106.827136
Puskesmas Senen,38153748-e18c-4fcf-b825-f54322420d2c,3173030,-6.189962,106.842871
Puskesmas Tanah Abang,38153748-e18c-4fcf-b825-f54322420d2c,3173010,-6.170887,106.819234
Puskesmas Cengkareng,38153748-e18c-4fcf-b825-f54322420d2c,3174070,-6.144284,106.728401
Puskesmas Grogol Petamburan,38153748-e18c-4fcf-b825-f54322420d2c,3174040,-6.149689,106.776818
Puskesmas Taman Sari,38153748-e18c-4fcf-b825-f54322420d2c,3174060,-6.145058,106.817448
Puskesmas Tambora,38153748-e18c-4fcf-b825-f54322420d2c,3174050,-6.148154,106.804622
Puskesmas Kebon Jeruk,38153748-e18c-4fcf-b825-f54322420d2c,3174020,-6.198998,106.765287
Puskesmas Kalideres,38153748-e18c-4fcf-b825-f54322420d2c,3174080,-6.119445,106.703398
Puskesmas Palmerah,38153748-e18c-4fcf-b825-f54322420d2c,3174030,-6.179829,106.8083
Puskesmas Kembangan,38153748-e18c-4fcf-b825-f54322420d2c,3174010,-6.18172,106.74164
Puskesmas Cilincing,38153748-e18c-4fcf-b825-f54322420d2c,3175060,-6.148329,106.924211
Puskesmas Koja,38153748-e18c-4fcf-b825-f54322420d2c,3175040,-6.121911,106.913471
Puskesmas Kelapa Gading,38153748-e18c-4fcf-b825-f54322420d2c,3175050,-6.155752,106.904537
Puskesmas Pademangan,38153748-e18c-4fcf-b825-f54322420d2c,3175020,-6.136677,106.843679
Puskesmas Penjaringan,38153748-e18c-4fcf-b825-f54322420d2c,3175010,-6.137948,106.780933
Puskesmas Tanjung Priok,38153748-e18c-4fcf-b825-f54322420d2c,3175030,-6.127206,106.878804
Puskesmas Cakung,38153748-e18c-4fcf-b825-f54322420d2c,3172080,-6.198019,106.905422
Puskesmas Cipayung,38153748-e18c-4fcf-b825-f54322420d2c,3276021,-6.291982,106.905806
Puskesmas Ciracas,38153748-e18c-4fcf-b825-f54322420d2c,3172020,-6.31115,106.873887
Puskesmas Duren Sawit,38153748-e18c-4fcf-b825-f54322420d2c,3172070,-6.242077,106.9111
Puskesmas Jatinegara,38153748-e18c-4fcf-b825-f54322420d2c,3172060,-6.214265,106.862319
Puskesmas Kramat Jati,38153748-e18c-4fcf-b825-f54322420d2c,3172050,-6.276734061987309,106.87184105319164
Puskesmas Makasar,38153748-e18c-4fcf-b825-f54322420d2c,3172040,-6.282315,106.878272
Puskesmas Pasar Rebo,38153748-e18c-4fcf-b825-f54322420d2c,3172010,-6.339338,106.861416
Puskesmas Pulo Gadung,38153748-e18c-4fcf-b825-f54322420d2c,3172090,-6.209354,106.897796
Puskesmas Kebayoran Baru,38153748-e18c-4fcf-b825-f54322420d2c,3171060,-6.247331,106.805558
Puskesmas Cilandak,38153748-e18c-4fcf-b825-f54322420d2c,3171030,-6.286792,106.793266
Puskesmas Mampang Prapatan,38153748-e18c-4fcf-b825-f54322420d2c,3171070,-6.271222,106.819972
Puskesmas Pesanggrahan,38153748-e18c-4fcf-b825-f54322420d2c,3171040,-6.223781,106.759986
Puskesmas Tebet,38153748-e18c-4fcf-b825-f54322420d2c,3171090,-6.235429,106.856757
Puskesmas Kebayoran Lama,38153748-e18c-4fcf-b825-f54322420d2c,3171050,-6.249724,106.778358
Puskesmas Pasar Minggu,38153748-e18c-4fcf-b825-f54322420d2c,3171020,-6.320825,106.825683
Puskesmas Jagakarsa,38153748-e18c-4fcf-b825-f54322420d2c,3171010,-6.336545,106.817367
Puskesmas Pancoran,38153748-e18c-4fcf-b825-f54322420d2c,3171080,-6.255029,106.839252
Puskesmas Setiabudi,38153748-e18c-4fcf-b825-f54322420d2c,3171100,-6.206957,106.833814